,country,sub_region
0,Algeria,NORTHERN AFRICA
1,Egypt,NORTHERN AFRICA
2,Libya,NORTHERN AFRICA
3,Morocco,NORTHERN AFRICA
4,Sudan,NORTHERN AFRICA
5,Tunisia,NORTHERN AFRICA
6,Western Sahara,NORTHERN AFRICA
7,Benin,WESTERN AFRICA
8,Burkina Faso,WESTERN AFRICA
9,Cape Verde,WESTERN AFRICA
10,Cote d'Ivoire,WESTERN AFRICA
11,Gambia,WESTERN AFRICA
12,Ghana,WESTERN AFRICA
13,Guinea,WESTERN AFRICA
14,Guinea-Bissau,WESTERN AFRICA
15,Liberia,WESTERN AFRICA
16,Mali,WESTERN AFRICA
17,Mauritania,WESTERN AFRICA
18,Niger,WESTERN AFRICA
19,Nigeria,WESTERN AFRICA
20,Senegal,WESTERN AFRICA
21,Sierra Leone,WESTERN AFRICA
22,Togo,WESTERN AFRICA
23,Burundi,EASTERN AFRICA
24,Comoros,EASTERN AFRICA
25,Djibouti,EASTERN AFRICA
26,Eritrea,EASTERN AFRICA
27,Ethiopia,EASTERN AFRICA
28,Kenya,EASTERN AFRICA
29,Madagascar,EASTERN AFRICA
30,Malawi,EASTERN AFRICA
31,Mauritius,EASTERN AFRICA
32,Mayotte,EASTERN AFRICA
33,Mozambique,EASTERN AFRICA
34,Reunion,EASTERN AFRICA
35,Rwanda,EASTERN AFRICA
36,Seychelles,EASTERN AFRICA
37,Somalia,EASTERN AFRICA
38,South Sudan,EASTERN AFRICA
39,Tanzania,EASTERN AFRICA
40,Uganda,EASTERN AFRICA
41,Zambia,EASTERN AFRICA
42,Zimbabwe,EASTERN AFRICA
43,Angola,MIDDLE AFRICA
44,Cameroon,MIDDLE AFRICA
45,Central African Republic,MIDDLE AFRICA
46,Chad,MIDDLE AFRICA
47,Congo,MIDDLE AFRICA
48,"Congo, Dem. Rep.",MIDDLE AFRICA
49,Equatorial Guinea,MIDDLE AFRICA
50,Gabon,MIDDLE AFRICA
51,Sao Tome and Principe,MIDDLE AFRICA
52,Botswana,SOUTHERN AFRICA
53,eSwatini,SOUTHERN AFRICA
54,Lesotho,SOUTHERN AFRICA
55,Namibia,SOUTHERN AFRICA
56,South Africa,SOUTHERN AFRICA
57,Canada,NORTHERN AMERICA
58,United States,NORTHERN AMERICA
59,Belize,CENTRAL AMERICA
60,Costa Rica,CENTRAL AMERICA
61,El Salvador,CENTRAL AMERICA
62,Guatemala,CENTRAL AMERICA
63,Honduras,CENTRAL AMERICA
64,Mexico,CENTRAL AMERICA
65,Nicaragua,CENTRAL AMERICA
66,Panama,CENTRAL AMERICA
67,Antigua and Barbuda,CARIBBEAN
68,Bahamas,CARIBBEAN
